# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	9607	9957	+							FHD68_RS14270	351		old_locus_tag=FHD68_14270
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	9607	9957	+	WP_045981263.1	WP_045981263.1		DUF2155 domain-containing protein			FHD68_RS14270	351	116	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	9948	10565	-							FHD68_RS14275	618		old_locus_tag=FHD68_14275
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	9948	10565	-	WP_127898660.1	WP_127898660.1		leucyl/phenylalanyl-tRNA--protein transferase			FHD68_RS14275	618	205	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	10573	11919	-					accC		FHD68_RS14280	1347		old_locus_tag=FHD68_14280
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	10573	11919	-	WP_045981261.1	WP_045981261.1		acetyl-CoA carboxylase biotin carboxylase subunit	accC		FHD68_RS14280	1347	448	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	11924	12218	-							FHD68_RS14285	295		partial;pseudo;old_locus_tag=FHD68_14285
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	11924	12218	-				acetyl-CoA carboxylase, biotin carboxyl carrier protein			FHD68_RS14285	295		partial;pseudo
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	1	657	-							FHD68_RS14290	657		partial;pseudo;old_locus_tag=FHD68_14290
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	1	657	-				hypothetical protein			FHD68_RS14290	657		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	727	1359	-							FHD68_RS14295	633		old_locus_tag=FHD68_14295
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	727	1359	-	WP_045999656.1	WP_045999656.1		uracil phosphoribosyltransferase			FHD68_RS14295	633	210	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	1356	2324	-							FHD68_RS14300	969		old_locus_tag=FHD68_14300
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	1356	2324	-	WP_127898383.1	WP_127898383.1		adenosine deaminase			FHD68_RS14300	969	322	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	2312	3490	-							FHD68_RS14305	1179		old_locus_tag=FHD68_14305
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	2312	3490	-	WP_127898382.1	WP_127898382.1		phosphopentomutase			FHD68_RS14305	1179	392	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	3487	4770	-							FHD68_RS14310	1284		old_locus_tag=FHD68_14310
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	3487	4770	-	WP_139086059.1	WP_139086059.1		thymidine phosphorylase			FHD68_RS14310	1284	427	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	4767	5165	-							FHD68_RS14315	399		old_locus_tag=FHD68_14315
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	4767	5165	-	WP_045980818.1	WP_045980818.1		cytidine deaminase			FHD68_RS14315	399	132	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	5308	7587	+							FHD68_RS14320	2280		old_locus_tag=FHD68_14320
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	5308	7587	+	WP_127898380.1	WP_127898380.1		NADP-dependent malic enzyme			FHD68_RS14320	2280	759	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	7762	9648	+							FHD68_RS14325	1887		old_locus_tag=FHD68_14325
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	7762	9648	+	WP_127898379.1	WP_127898379.1		propionyl-CoA synthetase			FHD68_RS14325	1887	628	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	9645	10976	-					aroA		FHD68_RS14330	1332		old_locus_tag=FHD68_14330
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	9645	10976	-	WP_127898378.1	WP_127898378.1		3-phosphoshikimate 1-carboxyvinyltransferase	aroA		FHD68_RS14330	1332	443	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	11096	11809	+							FHD68_RS14335	714		old_locus_tag=FHD68_14335
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000104.1	11096	11809	+	WP_127898377.1	WP_127898377.1		DNA alkylation repair protein			FHD68_RS14335	714	237	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	9	142	+							FHD68_RS14340	134		partial;pseudo;old_locus_tag=FHD68_14340
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	9	142	+				IS5/IS1182 family transposase			FHD68_RS14340	134		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	198	1253	-							FHD68_RS14345	1056		old_locus_tag=FHD68_14345
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	198	1253	-	WP_139086061.1	WP_139086061.1		aldo/keto reductase			FHD68_RS14345	1056	351	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	1275	1934	-							FHD68_RS14350	660		old_locus_tag=FHD68_14350
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	1275	1934	-	WP_045983562.1	WP_045983562.1		dihydroxyacetone kinase subunit L			FHD68_RS14350	660	219	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	1946	2947	-					dhaK		FHD68_RS14355	1002		old_locus_tag=FHD68_14355
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	1946	2947	-	WP_139086063.1	WP_139086063.1		dihydroxyacetone kinase subunit DhaK	dhaK		FHD68_RS14355	1002	333	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	2964	3992	-							FHD68_RS14360	1029		old_locus_tag=FHD68_14360
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	2964	3992	-	WP_139086073.1	WP_139086073.1		ABC transporter permease			FHD68_RS14360	1029	342	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	4007	5554	-							FHD68_RS14365	1548		old_locus_tag=FHD68_14365
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	4007	5554	-	WP_139086065.1	WP_139086065.1		sugar ABC transporter ATP-binding protein			FHD68_RS14365	1548	515	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	5647	6603	-							FHD68_RS14370	957		old_locus_tag=FHD68_14370
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	5647	6603	-	WP_139086075.1	WP_139086075.1		autoinducer 2 ABC transporter substrate-binding protein			FHD68_RS14370	957	318	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	6700	7710	-							FHD68_RS14375	1011		old_locus_tag=FHD68_14375
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	6700	7710	-	WP_139086067.1	WP_139086067.1		ABC transporter permease			FHD68_RS14375	1011	336	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	7897	8934	+							FHD68_RS14380	1038		old_locus_tag=FHD68_14380
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	7897	8934	+	WP_139086078.1	WP_139086078.1		LacI family transcriptional regulator			FHD68_RS14380	1038	345	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	9194	11254	+							FHD68_RS14385	2061		old_locus_tag=FHD68_14385
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	9194	11254	+	WP_139086069.1	WP_139086069.1		calcium-binding protein			FHD68_RS14385	2061	686	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	11478	11666	+							FHD68_RS14390	189		old_locus_tag=FHD68_14390
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000105.1	11478	11666	+	WP_139086071.1	WP_139086071.1		hypothetical protein			FHD68_RS14390	189	62	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1	904	-							FHD68_RS14395	904		partial;old_locus_tag=FHD68_14395
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1	904	-	WP_139086080.1	WP_139086080.1		rRNA pseudouridine synthase			FHD68_RS14395	904	301	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1044	1475	+							FHD68_RS14400	432		old_locus_tag=FHD68_14400
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1044	1475	+	WP_081994702.1	WP_081994702.1		nucleoside deaminase			FHD68_RS14400	432	143	
gene	tRNA	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1523	1596	+							FHD68_RS14405	74		old_locus_tag=FHD68_14405
tRNA		GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1523	1596	+				tRNA-Gly			FHD68_RS14405	74		anticodon=TCC
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1612	2376	-							FHD68_RS14410	765		old_locus_tag=FHD68_14410
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	1612	2376	-	WP_127899060.1	WP_127899060.1		ABC transporter ATP-binding protein			FHD68_RS14410	765	254	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	2373	3428	-							FHD68_RS14415	1056		old_locus_tag=FHD68_14415
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	2373	3428	-	WP_139086082.1	WP_139086082.1		iron ABC transporter permease			FHD68_RS14415	1056	351	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	3425	4432	-							FHD68_RS14420	1008		old_locus_tag=FHD68_14420
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	3425	4432	-	WP_139086084.1	WP_139086084.1		ABC transporter substrate-binding protein			FHD68_RS14420	1008	335	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	5020	5274	-							FHD68_RS14425	255		old_locus_tag=FHD68_14425
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	5020	5274	-	WP_139086087.1	WP_139086087.1		hypothetical protein			FHD68_RS14425	255	84	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	5400	6716	-							FHD68_RS14430	1317		old_locus_tag=FHD68_14430
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	5400	6716	-	WP_045982566.1	WP_045982566.1		TRAP transporter large permease subunit			FHD68_RS14430	1317	438	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	6716	7273	-							FHD68_RS14435	558		old_locus_tag=FHD68_14435
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	6716	7273	-	WP_045982565.1	WP_045982565.1		TRAP transporter small permease			FHD68_RS14435	558	185	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	7323	8342	-							FHD68_RS14440	1020		old_locus_tag=FHD68_14440
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	7323	8342	-	WP_127899064.1	WP_127899064.1		TRAP transporter substrate-binding protein			FHD68_RS14440	1020	339	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	8339	8899	-							FHD68_RS14445	561		old_locus_tag=FHD68_14445
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	8339	8899	-	WP_052714813.1	WP_052714813.1		gluconokinase			FHD68_RS14445	561	186	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000106.1	8967	10007	+							FHD68_RS14450	1041		old_locus_tag=FHD68_14450
